target_id,comparator_id,outcome_id,analysis_id,target_min_days,target_p10_days,target_p25_days,target_median_days,target_p75_days,target_p90_days,target_max_days,comparator_min_days,comparator_p10_days,comparator_p25_days,comparator_median_days,comparator_p75_days,comparator_p90_days,comparator_max_days,database_id
1792797,1793457,1792364,1,12,14.5,78.25,263,428.75,466,529,19,52.5,101,276,467,534,3081,YUHS
1792797,1793457,1792365,1,12,14.5,78.25,263,428.75,466,529,19,52.5,101,276,467,534,3081,YUHS
1792797,1793457,1792366,1,11,14.5,78.25,263,428.75,466,529,3,11,87.25,276,467,534,761,YUHS
1792797,1793457,1792367,1,12,14.5,78.25,263,428.75,466,529,3,11,87.25,276,467,534,761,YUHS
1792797,1793457,1792368,1,11,14.5,78.25,263,428.75,466,529,19,52.5,101,276,467,534,3081,YUHS
1792797,1793457,1792369,1,12,14.5,78.25,263,428.75,466,529,3,11,87.25,276,467,534,761,YUHS
1792797,1793457,1792370,1,12,14.5,78.25,263,428.75,466,529,3,11,87.25,276,467,534,3081,YUHS
1792797,1793457,1792371,1,12,14.5,78.25,263,428.75,466,529,19,52.5,101,276,467,534,761,YUHS
1792797,1793457,1792372,1,12,14.5,78.25,263,428.75,466,529,19,52.5,101,276,467,534,3081,YUHS
1792797,1793457,1792373,1,12,14.5,78.25,263,428.75,466,529,19,52.5,101,276,467,534,761,YUHS
1792797,1793457,1792374,1,11,14.5,78.25,263,428.75,466,529,19,52.5,101,276,467,534,3081,YUHS
1792797,1793457,1792364,2,2,13,80.5,315,453.29999999999995,480.4000000000001,2756,19,52.5,101,276,467,534,3081,YUHS
1792797,1793457,1792365,2,2,13,80.5,315,453.29999999999995,480.4000000000001,2756,19,52.5,101,276,467,534,3081,YUHS
1792797,1793457,1792366,2,1,12,48.5,302,447.29999999999995,478,2756,3,11,87.25,276,467,534,761,YUHS
1792797,1793457,1792367,2,1,12,63,305,450.29999999999995,478,2756,3,11,87.25,276,467,534,761,YUHS
1792797,1793457,1792368,2,2,13,77,311,451,480,2756,19,52.5,101,276,467,534,3081,YUHS
1792797,1793457,1792369,2,1,12.800000000000011,63,308,450.29999999999995,478,2756,3,11,87.25,276,467,534,761,YUHS
1792797,1793457,1792370,2,1,12.800000000000011,63,308,450.29999999999995,478,2756,3,11,87.25,276,467,534,3081,YUHS
1792797,1793457,1792371,2,2,13,80.5,315,453.29999999999995,480.4000000000001,2756,19,52.5,101,276,467,534,761,YUHS
1792797,1793457,1792372,2,2,13,80.5,315,453.29999999999995,480.4000000000001,2756,19,52.5,101,276,467,534,3081,YUHS
1792797,1793457,1792373,2,2,13,80.5,319,453.29999999999995,480.4000000000001,2756,19,52.5,101,276,467,534,761,YUHS
1792797,1793457,1792374,2,2,13,77,312,451,480,2756,19,52.5,101,276,467,534,3081,YUHS
1792797,1793457,1792364,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792365,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792366,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792367,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792368,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792369,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792370,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792371,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792372,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792373,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792374,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792364,4,1,30,30,30,30,30,30,30,30,30,30,30,30,30,YUHS
1792797,1793457,1792365,4,1,30,30,30,30,30,30,30,30,30,30,30,30,30,YUHS
1792797,1793457,1792366,4,1,30,30,30,30,30,30,3,19.200000000000003,30,30,30,30,30,YUHS
1792797,1793457,1792367,4,1,30,30,30,30,30,30,3,19.200000000000003,30,30,30,30,30,YUHS
1792797,1793457,1792368,4,2,30,30,30,30,30,30,30,30,30,30,30,30,30,YUHS
1792797,1793457,1792369,4,1,30,30,30,30,30,30,3,19.200000000000003,30,30,30,30,30,YUHS
1792797,1793457,1792370,4,1,30,30,30,30,30,30,3,19.200000000000003,30,30,30,30,30,YUHS
1792797,1793457,1792371,4,2,30,30,30,30,30,30,30,30,30,30,30,30,30,YUHS
1792797,1793457,1792372,4,2,30,30,30,30,30,30,30,30,30,30,30,30,30,YUHS
1792797,1793457,1792373,4,2,30,30,30,30,30,30,30,30,30,30,30,30,30,YUHS
1792797,1793457,1792374,4,2,30,30,30,30,30,30,30,30,30,30,30,30,30,YUHS
1792797,1793457,1792364,5,1,90,90,90,90,90,90,90,90,90,90,90,90,90,YUHS
1792797,1793457,1792365,5,1,90,90,90,90,90,90,90,90,90,90,90,90,90,YUHS
1792797,1793457,1792366,5,1,34,90,90,90,90,90,3,55.20000000000001,90,90,90,90,90,YUHS
1792797,1793457,1792367,5,1,52,90,90,90,90,90,3,55.20000000000001,90,90,90,90,90,YUHS
1792797,1793457,1792368,5,2,90,90,90,90,90,90,90,90,90,90,90,90,90,YUHS
1792797,1793457,1792369,5,1,90,90,90,90,90,90,3,55.20000000000001,90,90,90,90,90,YUHS
1792797,1793457,1792370,5,1,90,90,90,90,90,90,3,55.20000000000001,90,90,90,90,90,YUHS
1792797,1793457,1792371,5,2,90,90,90,90,90,90,90,90,90,90,90,90,90,YUHS
1792797,1793457,1792372,5,2,90,90,90,90,90,90,90,90,90,90,90,90,90,YUHS
1792797,1793457,1792373,5,2,90,90,90,90,90,90,90,90,90,90,90,90,90,YUHS
1792797,1793457,1792374,5,2,90,90,90,90,90,90,90,90,90,90,90,90,90,YUHS
1792797,1793457,1792364,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792365,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792366,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792367,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792368,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792369,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792370,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792371,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792372,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792373,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792374,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792364,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792365,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792366,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792367,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792368,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792369,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792370,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792371,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792372,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792373,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792374,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792364,8,1,119,365,365,365,365,365,97,222.00000000000003,365,365,365,365,365,YUHS
1792797,1793457,1792365,8,1,119,365,365,365,365,365,97,222.00000000000003,365,365,365,365,365,YUHS
1792797,1793457,1792366,8,1,34,360,365,365,365,365,3,59.40000000000001,300,365,365,365,365,YUHS
1792797,1793457,1792367,8,1,52,365,365,365,365,365,3,59.40000000000001,300,365,365,365,365,YUHS
1792797,1793457,1792368,8,2,104,365,365,365,365,365,97,222.00000000000003,365,365,365,365,365,YUHS
1792797,1793457,1792369,8,1,90,365,365,365,365,365,3,59.40000000000001,300,365,365,365,365,YUHS
1792797,1793457,1792370,8,1,96,365,365,365,365,365,3,59.40000000000001,300,365,365,365,365,YUHS
1792797,1793457,1792371,8,2,119,365,365,365,365,365,97,222.00000000000003,365,365,365,365,365,YUHS
1792797,1793457,1792372,8,2,127,365,365,365,365,365,97,222.00000000000003,365,365,365,365,365,YUHS
1792797,1793457,1792373,8,2,127,365,365,365,365,365,97,222.00000000000003,365,365,365,365,365,YUHS
1792797,1793457,1792374,8,2,104,365,365,365,365,365,97,222.00000000000003,365,365,365,365,365,YUHS
